YEAR	PICK	TEAM	PLAYER_FIRST	PLAYER_LAST	POSITION	COLLEGE	SIDE	SIDEN
2018	1	6	1	15	7	12	2	0
2018	2	14	25	3	8	13	2	0
2018	3	16	24	6	7	18	2	0
2018	4	6	6	30	2	11	1	1
2018	5	5	3	5	3	9	1	1
2018	6	10	20	20	5	10	2	0
2018	7	4	13	2	7	22	2	0
2018	8	2	23	27	6	6	1	1
2018	9	1	18	16	10	10	2	0
2018	10	8	13	26	7	17	2	0
2018	11	12	19	10	9	1	1	1
2018	12	7	30	29	4	21	1	1
2018	13	23	5	21	4	1	1	1
2018	14	24	17	7	3	19	1	1
2018	15	21	14	18	10	17	2	0
2018	16	4	29	8	6	20	1	1
2018	17	9	7	14	9	5	1	1
2018	18	18	12	1	NA	7	1	1
2018	19	11	16	28	6	3	1	1
2018	20	17	9	24	1	2	2	0
2018	21	3	2	23	1	11	2	0
2018	22	27	22	9	6	1	1	1
2018	23	20	11	31	10	6	2	0
2018	24	19	8	19	12	8	2	0
2018	25	22	10	12	11	15	2	0
2018	26	13	4	25	12	1	2	0
2018	27	25	21	22	8	14	2	0
2018	28	26	28	8	9	20	1	1
2018	29	15	27	4	4	4	1	1
2018	30	28	18	11	2	16	1	1
2018	31	20	26	17	8	6	2	0
2018	32	22	15	13	7	7	2	0
