PIRATE	PIRATEID	YEAR	PICK	GUESSID	GUESS	GUESSN
2	101	2019	1	1	2	0
2	101	2019	2	2	1	1
2	101	2019	3	3	1	1
2	101	2019	4	4	1	1
2	101	2019	5	5	2	0
2	101	2019	6	6	1	1
2	101	2019	7	7	1	1
2	101	2019	8	8	2	0
2	101	2019	9	9	1	1
2	101	2019	10	10	2	0
2	101	2019	11	11	2	0
2	101	2019	12	12	2	0
2	101	2019	13	13	2	0
2	101	2019	14	14	1	1
2	101	2019	15	15	2	0
2	101	2019	16	16	2	0
2	101	2019	17	17	2	0
2	101	2019	18	18	1	1
2	101	2019	19	19	1	1
2	101	2019	20	20	1	1
2	101	2019	21	21	2	0
2	101	2019	22	22	2	0
2	101	2019	23	23	2	0
2	101	2019	24	24	1	1
2	101	2019	25	25	1	1
2	101	2019	26	26	2	0
2	101	2019	27	27	2	0
2	101	2019	28	28	1	1
2	101	2019	29	29	2	0
2	101	2019	30	30	2	0
2	101	2019	31	31	2	0
2	101	2019	32	32	1	1
5	102	2019	1	1	2	0
5	102	2019	2	2	1	1
5	102	2019	3	3	2	0
5	102	2019	4	4	1	1
5	102	2019	5	5	1	1
5	102	2019	6	6	2	0
5	102	2019	7	7	2	0
5	102	2019	8	8	1	1
5	102	2019	9	9	1	1
5	102	2019	10	10	1	1
5	102	2019	11	11	2	0
5	102	2019	12	12	2	0
5	102	2019	13	13	1	1
5	102	2019	14	14	2	0
5	102	2019	15	15	2	0
5	102	2019	16	16	1	1
5	102	2019	17	17	1	1
5	102	2019	18	18	2	0
5	102	2019	19	19	2	0
5	102	2019	20	20	2	0
5	102	2019	21	21	1	1
5	102	2019	22	22	1	1
5	102	2019	23	23	2	0
5	102	2019	24	24	2	0
5	102	2019	25	25	2	0
5	102	2019	26	26	1	1
5	102	2019	27	27	1	1
5	102	2019	28	28	2	0
5	102	2019	29	29	1	1
5	102	2019	30	30	2	0
5	102	2019	31	31	2	0
5	102	2019	32	32	2	0
3	103	2019	1	1	1	1
3	103	2019	2	2	2	0
3	103	2019	3	3	1	1
3	103	2019	4	4	1	1
3	103	2019	5	5	1	1
3	103	2019	6	6	1	1
3	103	2019	7	7	2	0
3	103	2019	8	8	2	0
3	103	2019	9	9	2	0
3	103	2019	10	10	2	0
3	103	2019	11	11	1	1
