YEAR	PICK	TEAM	PLAYER_FIRST	PLAYER_LAST	POSITION	COLLEGE	SIDE	SIDEN
2017	1	6	23	11	2	14	1	1
2017	2	2	22	27	4	9	2	0
2017	3	1	28	26	2	11	1	1
2017	4	17	17	10	5	4	2	0
2017	5	27	4	7	9	20	2	0
2017	6	18	13	1	6	4	1	1
2017	7	9	21	31	9	2	2	0
2017	8	20	3	19	5	11	2	0
2017	9	3	15	25	9	19	2	0
2017	10	10	25	18	4	15	2	0
2017	11	24	20	17	1	10	1	1
2017	12	26	7	28	4	2	2	0
2017	13	8	11	24	3	12	1	1
2017	14	14	6	3	2	13	1	1
2017	15	11	18	13	6	10	1	1
2017	16	22	19	15	1	1	1	1
2017	17	23	16	2	2	1	1	1
2017	18	27	1	16	1	17	1	1
2017	19	7	24	14	8	1	2	0
2017	20	5	10	4	7	18	2	0
2017	21	19	14	7	3	3	1	1
2017	22	13	2	12	2	8	1	1
2017	23	16	8	8	8	7	2	0
2017	24	21	9	6	1	10	1	1
2017	25	6	12	22	6	6	1	1
2017	26	15	30	20	2	16	1	1
2017	27	4	32	30	1	4	1	1
2017	28	12	29	5	2	6	1	1
2017	29	6	5	21	8	5	2	0
2017	30	25	31	29	3	21	1	1
2017	31	1	26	9	3	1	1	1
2017	32	24	27	23	7	21	2	0
